condition,metric,direction,practical_threshold,replicates,n,reference_mean,condition_mean,raw_delta_mean,raw_delta_median,raw_delta_ci95_low,raw_delta_ci95_high,benefit_mean,benefit_median,benefit_ci95_low,benefit_ci95_high,classification,practical_wins,practical_ties,practical_losses,condition_to_reference_ratio,size_interpretation
gate_075,ncc_after,1,0.005,1,16,0.5333500150591135,0.5326750949025154,-0.0006749201565980911,-0.0007263422012329102,-0.0010407992638647556,-0.00030363858677446843,-0.0006749201565980911,-0.0007263422012329102,-0.0010415599681437016,-0.000312483124434948,practical_equivalence,0,16,0,0.9987345642869753,
gate_075,dice_after,1,0.01,1,15,0.5943615802059627,0.5925308699181481,-0.001830710287814639,0.0019110449611415836,-0.009789538466694938,0.003446577806651193,-0.001830710287814639,0.0019110449611415836,-0.009906543242458288,0.0034650392329797653,practical_equivalence,0,13,2,0.9969198710872592,
gate_075,dice_label_1,1,0.01,1,12,0.5145807360354756,0.5159861303352348,0.0014053942997592002,2.6389649918686503e-05,-0.0003033149564593684,0.003446843284990751,0.0014053942997592002,2.6389649918686503e-05,-0.00028374994845684515,0.0034479409705799307,practical_equivalence,0,12,0,1.0027311444081386,
gate_075,dice_label_2,1,0.01,1,13,0.6718905953913041,0.6708944844787204,-0.000996110912583642,0.0032861036354751016,-0.010451991230121088,0.005309996871821081,-0.000996110912583642,0.0032861036354751016,-0.010204660970299867,0.005400672064898474,inconclusive_or_mixed,2,9,2,0.9985174507287103,
gate_075,hd95_after_mm,-1,1.5,1,15,8.476718513762489,8.464276859439455,-0.01244165432303479,0.0,-0.1589619445994802,0.1445569824095527,0.01244165432303479,0.0,-0.1396815315461045,0.1681415822042445,practical_equivalence,0,15,0,0.9985322558130444,
gate_075,assd_after_mm,-1,0.5,1,15,2.240134311065376,2.2585615900660687,0.018427279000692305,-0.0017949166977078157,-0.01964092476682681,0.07065722760951569,-0.018427279000692305,0.0017949166977078157,-0.07133755882287814,0.01961239308071699,practical_equivalence,0,15,0,1.008225970607954,
gate_075,negative_jacobian_ratio,-1,0.001,1,16,0.0044694899588648695,0.004485587989620399,1.609803075552918e-05,2.1972518879920244e-05,-2.7675582987285453e-05,5.4550143249798563e-05,-1.609803075552918e-05,-2.1972518879920244e-05,-5.4683715097780806e-05,2.7009042059944464e-05,practical_equivalence,0,16,0,1.0036017601345317,
gate_075,below_safe_jacobian_ratio,-1,0.01,1,16,0.17194583779200912,0.18040086375549436,0.008455025963485241,0.0028677359223365784,0.0025179468910209836,0.01858543958514929,-0.008455025963485241,-0.0028677359223365784,-0.01866011134115979,-0.0025345022324472677,inconclusive_or_mixed,0,14,2,1.0491726119809466,
gate_075,minimum_jacobian,1,0.1,1,16,-4.485636368393898,-4.824762754142284,-0.3391263857483864,0.3688760995864868,-2.0091119572520255,0.8806690275669098,-0.3391263857483864,0.3688760995864868,-2.0074876505881547,0.8838992252945898,inconclusive_or_mixed,9,2,5,1.0756027368018268,
gate_075,mean_displacement_mm,,0.75,1,16,6.854046031832695,6.841032177209854,-0.013013854622840881,-0.1358497142791748,-0.15460144206881524,0.13723238892853254,,,,,,,,,0.998101288704161,uncertain
gate_075,p95_displacement_mm,,1.5,1,16,17.596948862075806,17.527524411678314,-0.06942445039749146,-0.3614044189453125,-0.47811138555407523,0.35935801938176154,,,,,,,,,0.9960547450048507,uncertain
gate_1,ncc_after,1,0.005,1,16,0.5333500150591135,0.5325127579271793,-0.000837257131934166,-0.00027751922607421875,-0.001648579677566886,-0.00021475204266607835,-0.000837257131934166,-0.00027751922607421875,-0.0016498527955263853,-0.00021851407364010817,practical_equivalence,0,15,1,0.998430191978449,
gate_1,dice_after,1,0.01,1,15,0.5943615802059627,0.5831603851633695,-0.011201195042593204,-0.00010562918318401948,-0.031341066588082556,0.001347765108372766,-0.011201195042593204,-0.00010562918318401948,-0.03071129797157758,0.0014284035436374614,inconclusive_or_mixed,1,12,2,0.9811542410956111,
